Flavor_Text,Category,Min_Rarity
"A Song of Ice and Fire whispers from its edge: dynasties end, cold remains.",A Song of Ice and Fire,Epic
"Before empires learned to write, this name was spoken over the first victorious dead.",Ancient,Legendary
The System does not joke about artifacts like this. It merely records who fails to deserve them.,System,Legendary
"Whole battles turned when this was raised, and history still circles the wound.",Combat,Legendary
Dungeon Crawler Carl would survive with this. The arena would not.,Dungeon Crawler Carl,Legendary
"In Cradle, there are heights beyond ambition. This was carried there and returned changed.",Cradle,Legendary
Defiance of the Fall remembers the moment mortality stopped being a law and became a dare.,Defiance of the Fall,Legendary
He Who Fights with Monsters leaves strange legends behind; this is one that kept hunting after the story ended.,He Who Fights with Monsters,Legendary
"The Primal Hunter would call this honest: apex given form, mercy omitted.",The Primal Hunter,Legendary
The Wandering Inn keeps old miracles in its bones. This is one that walked away.,The Wandering Inn,Legendary
Red Rising carved a golden age from blood and ash; this piece remembers every name it cost.,Red Rising,Legendary
Recovered from the 1% Lifesteal bargain pile. Even the rats declined ownership.,1% Lifesteal,Common
Issued by the A Learning Experience quartermaster after all respectable gear was already gone.,A Learning Experience,Common
This looks like A Shrouded World surplus with a second disappointing life ahead of it.,A Shrouded World,Common
Pulled from a cracked A Soldier's Life footlocker. It smells like mildew and regret.,A Soldier's Life,Common
A A Thousand Li hand-me-down. The previous owner either died bravely or gave up early.,A Thousand Li,Common
"Stamped, dented, and barely functional. Very A Zombie Tale. Very you.",A Zombie Tale,Common
The kind of Accidental Champion relic sold in bulk and apologized for individually.,Accidental Champion,Common
One hard fall away from becoming scrap. The Adventures on Brad aesthetic is apparently 'cheap despair.',Adventures on Brad,Common
Found where lost After Hours equipment goes to disappoint a second owner.,After Hours,Common
Mass-produced for people with low standards and shorter life expectancies. A proud Ajax's Ascension tradition.,Ajax's Ascension,Common
Recovered from the Alchemist Series bargain pile. Even the rats declined ownership.,Alchemist Series,Common
Issued by the All the Skills quartermaster after all respectable gear was already gone.,All the Skills,Common
This looks like Angel in the Whirlwind surplus with a second disappointing life ahead of it.,Angel in the Whirlwind,Common
Pulled from a cracked Ark Royal footlocker. It smells like mildew and regret.,Ark Royal,Common
A Art of the Adept hand-me-down. The previous owner either died bravely or gave up early.,Art of the Adept,Common
"Stamped, dented, and barely functional. Very Artorian's Archives. Very you.",Artorian's Archives,Common
The kind of Ascend Online [chronological order] relic sold in bulk and apologized for individually.,Ascend Online [chronological order],Common
One hard fall away from becoming scrap. The Battle Mage Farmer aesthetic is apparently 'cheap despair.',Battle Mage Farmer,Common
Found where lost Benjamin Ashwood Series equipment goes to disappoint a second owner.,Benjamin Ashwood Series,Common
Mass-produced for people with low standards and shorter life expectancies. A proud Born In tradition.,Born In,Common
A modest Caverns and Creatures piece. It has survived at least one catastrophe and several bad decisions.,Caverns and Creatures,Uncommon
"There is craft here, hidden beneath the dents and the smell of old Chaos Seeds trouble.",Chaos Seeds,Uncommon
"Slightly above standard issue. In Chronicles of The One, that almost counts as treasured.",Chronicles of The One,Uncommon
Touched by the habits of a practiced Cinnamon Bun survivor. That is either reassuring or alarming.,Cinnamon Bun,Uncommon
"Built to outlast panic, poor planning, and the average Codename: Freedom protagonist.",Codename: Freedom,Uncommon
A respectable find by your standards. The Crystal Shards Online archives remain politely unimpressed.,Crystal Shards Online,Uncommon
This once belonged to someone competent. The System has noted the downgrade.,Dark Lord Davi,Uncommon
"Not elegant, but durable in the stubborn, ugly way Das Große Spiel things often are.",Das Große Spiel,Uncommon
"Its maker knew enough to fear the dark parts of Dear Spellbook Series, and built accordingly.",Dear Spellbook Series,Uncommon
"A survivor's tool from Death Cultivator. Functional, scarred, and only mildly cursed.",Death Cultivator,Uncommon
A modest Democracy's Right piece. It has survived at least one catastrophe and several bad decisions.,Democracy's Right,Uncommon
"There is craft here, hidden beneath the dents and the smell of old Destiny Cycle trouble.",Destiny Cycle,Uncommon
"Slightly above standard issue. In Discount Dan's Backroom Bargains, that almost counts as treasured.",Discount Dan's Backroom Bargains,Uncommon
Touched by the habits of a practiced Dragonlance Chronicles survivor. That is either reassuring or alarming.,Dragonlance Chronicles,Uncommon
"Built to outlast panic, poor planning, and the average Dragonlance: Preludes protagonist.",Dragonlance: Preludes,Uncommon
A respectable find by your standards. The Dragonlance: The Lost Chronicles archives remain politely unimpressed.,Dragonlance: The Lost Chronicles,Uncommon
This once belonged to someone competent. The System has noted the downgrade. [37],Dystance,Uncommon
"Not elegant, but durable in the stubborn, ugly way Falling with Folded Wings things often are.",Falling with Folded Wings,Uncommon
"Its maker knew enough to fear the dark parts of Five Points' Mob Collection Series, and built accordingly.",Five Points' Mob Collection Series,Uncommon
"A survivor's tool from Harry Potter. Functional, scarred, and only mildly cursed.",Harry Potter,Uncommon
"Forged in the long pressure of Healer's Way, where weak hands fail and wiser ones adapt.",Healer's Way,Rare
"Carries the measured weight of Heartstrings discipline. Even now, it remembers purpose.",Heartstrings,Rare
"An uncommon survivor from Heaven's Laws, preserved by skill, luck, and an unreasonable refusal to break.",Heaven's Laws,Rare
"It hums with a distinct I'm Not the Hero signature, as if old victories still echo inside the frame.",I'm Not the Hero,Rare
Made when Illusionist still believed worthy tools should outlive their wielders.,Illusionist,Rare
"The finish has faded, but the will inside it has not. That is very Immortal Great Souls of it.",Immortal Great Souls,Rare
"Recovered from the sharper edge of Imperial Initiative, where only the useful earn another dawn.",Imperial Initiative,Rare
"This bears the careful violence of Imperium Cicernus: restrained, deliberate, and deeply effective.",Imperium Cicernus,Rare
Its balance suggests a maker from Indian Hill who considered failure a personal insult.,Indian Hill,Rare
"A rare inheritance from Industrial Strength Magic, carrying the calm confidence of proven ruin.",Industrial Strength Magic,Rare
"Forged in the long pressure of Infinite Realm Series, where weak hands fail and wiser ones adapt.",Infinite Realm Series,Rare
"Carries the measured weight of Instrument of Omens discipline. Even now, it remembers purpose.",Instrument of Omens,Rare
"An uncommon survivor from Jake's Magical Market, preserved by skill, luck, and an unreasonable refusal to break.",Jake's Magical Market,Rare
"It hums with a distinct Kingkiller Chronicle signature, as if old victories still echo inside the frame.",Kingkiller Chronicle,Rare
Made when Law of the Jungle still believed worthy tools should outlive their wielders.,Law of the Jungle,Rare
"The finish has faded, but the will inside it has not. That is very Legend of the Arch Magus of it.",Legend of the Arch Magus,Rare
"Recovered from the sharper edge of Legends, where only the useful earn another dawn.",Legends,Rare
"This bears the careful violence of Legends & Lattes: restrained, deliberate, and deeply effective.",Legends & Lattes,Rare
Its balance suggests a maker from Lord of EXP Farming who considered failure a personal insult.,Lord of EXP Farming,Rare
"A rare inheritance from Lord Valevsky: Last of the Line Series, carrying the calm confidence of proven ruin.",Lord Valevsky: Last of the Line Series,Rare
"The last bearer wrote no name upon it. In Lycan Fallout, deeds were expected to speak loudly enough.",Lycan Fallout,Epic
"Something in this piece remembers the turning points of Mage Errant, and does not care if you survive the next one.",Mage Errant,Epic
Wrought in an age when Mage Tank answered crisis with iron will instead of excuses.,Mage Tank,Epic
"Its presence bends the air with old authority, like a command once obeyed across all of Magical Fusion.",Magical Fusion,Epic
This is not decoration. It is a chapter of Main Character Hides His Strength made solid and left for the worthy. Awkward for you.,Main Character Hides His Strength,Epic
"A high relic of Mark of the Fool, carrying the solemn arrogance of something that has outlived dynasties.",Mark of the Fool,Epic
Legends from Merchant Crab treat items like this as proof that history sometimes sharpens instead of fading.,Merchant Crab,Epic
"The System detects a dangerous amount of significance. Naturally, you picked it up first.",Michael Talbot Adventures,Epic
"Bound to the mythic spine of Mimic & Me, where vows, ruin, and triumph were often the same event.",Mimic & Me,Epic
It holds the hush that falls before great names are spoken in Mother of Learning.,Mother of Learning,Epic
"The last bearer wrote no name upon it. In Netherdei, deeds were expected to speak loudly enough.",Netherdei,Epic
"Something in this piece remembers the turning points of New Era Online, and does not care if you survive the next one.",New Era Online,Epic
Wrought in an age when Off-Campus answered crisis with iron will instead of excuses.,Off-Campus,Epic
"Its presence bends the air with old authority, like a command once obeyed across all of Out of Uniform (Kennedy).",Out of Uniform (Kennedy),Epic
This is not decoration. It is a chapter of Outcast In Another World Series made solid and left for the worthy. Awkward for you.,Outcast In Another World Series,Epic
"A high relic of Paranoid Mage, carrying the solemn arrogance of something that has outlived dynasties.",Paranoid Mage,Epic
Legends from Portal to Nova Roma treat items like this as proof that history sometimes sharpens instead of fading.,Portal to Nova Roma,Epic
"The System detects a dangerous amount of significance. Naturally, you picked it up first. [78]",Quest Academy,Epic
"Bound to the mythic spine of Quintessence, where vows, ruin, and triumph were often the same event.",Quintessence,Epic
It holds the hush that falls before great names are spoken in Ready Player One.,Ready Player One,Epic
"Before the first crowns of Reborn: Apocalypse were dust, this was carried beneath a sky that still answered oaths.",Reborn: Apocalypse,Legendary
"The old songs of Rise of the Last Summoner name no maker, only a silence in the ranks when this was raised.",Rise of the Last Summoner,Legendary
"This relic endured the forgotten cataclysms of Scholomance, when empires burned and memory learned to kneel.",Scholomance,Legendary
"In the buried heart of Schooled in Magic, there survives one promise: that true power remembers every hand that failed it.",Schooled in Magic,Legendary
"Once borne at the hinge of history, this artifact watched Second Chance Swordsman choose what parts of itself deserved to live.",Second Chance Swordsman,Legendary
"The inscriptions are older than the surviving maps of Shadowcroft Academy For Dungeons, and far less forgiving.",Shadowcroft Academy For Dungeons,Legendary
There are ruins in Shopocalypse Saga where pilgrims still lower their voices rather than speak the name bound into this piece.,Shopocalypse Saga,Legendary
This is what remained when the heroes of Sign of Seven became myth and the myths became warning.,Sign of Seven,Legendary
"It carries the final dignity of lost Spellmonger ages, when greatness still had a cost worthy of being feared.",Spellmonger,Legendary
Some relics preserve power. This one preserves judgment. Spellmonger Cadet Series has not finished passing sentence.,Spellmonger Cadet Series,Legendary
"Before the first crowns of Spellmonger: Legacy and Secrets were dust, this was carried beneath a sky that still answered oaths.",Spellmonger: Legacy and Secrets,Legendary
"The old songs of Station 64: The Doll Dungeon name no maker, only a silence in the ranks when this was raised.",Station 64: The Doll Dungeon,Legendary
"This relic endured the forgotten cataclysms of Stormweaver Series, when empires burned and memory learned to kneel.",Stormweaver Series,Legendary
"In the buried heart of Super Powereds, there survives one promise: that true power remembers every hand that failed it.",Super Powereds,Legendary
"Once borne at the hinge of history, this artifact watched System Optimization choose what parts of itself deserved to live.",System Optimization,Legendary
"The inscriptions are older than the surviving maps of The Alchemic Weaponeer Series, and far less forgiving.",The Alchemic Weaponeer Series,Legendary
There are ruins in The Amatherean Tales where pilgrims still lower their voices rather than speak the name bound into this piece.,The Amatherean Tales,Legendary
This is what remained when the heroes of The Ballers and Babes became myth and the myths became warning.,The Ballers and Babes,Legendary
"It carries the final dignity of lost The Bear Clan ages, when greatness still had a cost worthy of being feared.",The Bear Clan,Legendary
Some relics preserve power. This one preserves judgment. The Beginning after the End has not finished passing sentence.,The Beginning after the End,Legendary
