item_id,item_name,slot,str,mag,def,hp,special_ability,rarity,flavor_text,series_tag,icon
new_579872,Carl's Monolith Shard of the Archmage,Neck,9,20,4,35,None,Uncommon,"Mass-produced, lightly cursed, and somehow still an upgrade.",Dungeon Crawler Carl,/icons/acc_neck_015.png
new_172649,Ironroot Shock Baton of the Tortoise,Weapon,25,19,32,20,None,Epic,"Somebody threw this away. The System saw potential. Tragic, really.",Battle Mage Farmer,/icons/icons_quest_misc_153.png
new_349028,Rusty Thumb Ring of the Deep Spell,Ring,0,12,6,10,None,Common,"This survived a drawer full of junk. Against all odds, so did you.",General,/icons/acc_ring_062.png
new_299693,Mustang's Bauble of the Goliath Brand,Trinket,46,5,9,100,None,Epic,"This survived a drawer full of junk. Against all odds, so did you.",Red Rising,/icons/acc_trinket_094.png
new_950228,Gleaming Chronometer of the Void,Trinket,0,11,9,0,None,Common,It looks rented. The System expects it back in worse condition.,General,/icons/acc_trinket_003.png
new_453743,Boilerplate Choker of the Stronghold,Neck,1,10,8,5,None,Common,The AI that designed this was having a bad day.,High-Tech,/icons/acc_necklace_008.png
new_381064,Surplus Rapier of the Void,Weapon,6,11,1,10,None,Common,Built from scrap and optimism. One of those failed first.,Imperial Initiative,/icons/weapon_sword_019.png
new_180350,Second-Hand Mask of the Furnace Heart,Head,16,5,5,70,None,Uncommon,Even the goblins passed on this one. Bold of you to disagree.,General,/icons/head_cloth_054.png
new_884144,Academy-Forged Pulse Rifle of the Archmage,Weapon,14,32,13,5,None,Rare,The System has classified this as usable. Barely.,Quest Academy,/icons/icons_quest_misc_048.png
new_724153,Empire's-End Claymore of the Battle Saint,Weapon,44,14,5,85,None,Epic,The System flagged this as significant. You should try being the same.,The Decline and Fall of the Galactic Empire,/icons/weapon_sword_435.png
new_131299,Nerfed Halo Ring of the Crushing Tide,Ring,12,5,0,15,None,Common,"This survived a drawer full of junk. Against all odds, so did you.",System,/icons/acc_ringwod_031.png
new_637761,Second-Hand Boomstick of Astral Fire,Weapon,12,8,0,0,None,Common,It still smells faintly of the previous owner.,General,/icons/icons_quest_misc_109.png
new_948718,Discounted Rapier of the Luminous Veil,Weapon,9,11,0,0,None,Common,The kind of gear merchants call 'starter' and veterans call 'bait.',Discount Dan's Backroom Bargains,/icons/weapon_sword_201.png
new_899201,Mossgrown Beacon of the Sage,Trinket,8,16,11,25,None,Uncommon,Improved after three revisions and one embarrassing recall.,Beware of Chicken,/icons/acc_trinket_012.png
new_973812,Carl's Spellbook of the Mystic,Weapon,13,22,0,25,None,Uncommon,Carries the faint confidence of gear that has only failed other people.,Dungeon Crawler Carl,/icons/icons_quest_misc_059.png
new_609360,Trash-Tier Scaleshirt of the Parapet,Chest,2,5,12,5,None,Common,A reward for your 'hard work.' Try not to lose it.,System,/icons/icons_quest_misc_225.png
new_917649,Spare-Parts Lucky Bone of the Blue Nova,Trinket,4,11,3,10,None,Common,A pity prize for finishing another book.,High-Tech,/icons/acc_trinket_028.png
new_343283,Rusty Wand of the Sage,Weapon,2,10,1,35,None,Common,The kind of gear merchants call 'starter' and veterans call 'bait.',General,/icons/icons_quest_misc_067.png
new_883044,Second-Hand Crown of Sorcery,Head,9,10,0,5,None,Common,A pity prize for finishing another book.,General,/icons/icons_quest_misc_210.png
new_460338,Standard-Issue Memory Crystal of Stone,Trinket,3,6,11,0,None,Common,Factory-second quality for a second-rate hero.,System,/icons/acc_trinket_002.png
new_435486,Trash-Tier Hexband of Unbroken Lines,Ring,3,4,11,10,None,Common,Stamped out by a bored quartermaster and dropped immediately. A natural lifecycle.,System,/icons/acc_ringwod_025.png
new_611453,Second-Hand Rosary of Astral Fire,Neck,7,9,1,15,None,Common,It was discovered under a cart. Great destinies begin somewhere awful.,General,/icons/acc_neck_028.png
new_526808,Flea-Market Lucky Bone of the Colossus March,Trinket,58,7,22,65,None,Legendary,The AI that designed this was having a bad day.,Jake's Magical Market,/icons/acc_trinket_101.png
new_141642,Misprinted Sunblade of the Gatekeeper,Weapon,1,8,11,0,None,Common,The AI that designed this was having a bad day.,General,/icons/weapon_sword_450.png
new_793984,Flea-Market Shank of the Eldritch Gale,Ring,4,8,4,20,None,Common,It looks rented. The System expects it back in worse condition.,Jake's Magical Market,/icons/acc_ringwod_007.png
new_164105,Battle-Worn Crossbow of Iron,Weapon,0,25,31,20,None,Rare,The System rarely admits admiration. This is close.,General,/icons/weapon_bow_016.png
new_281524,Off-Brand Monolith Shard of the Wolf General,Neck,10,5,4,5,None,Common,Error 404: Better loot not found.,General,/icons/acc_neck_018.png
new_663225,Trash-Tier Seal Ring of the Void Walker,Ring,3,8,9,0,None,Common,"The stitching is uneven, but so is fate.",System,/icons/acc_ring_001.png
new_384520,Nerfed Greathelm of the Fortress Oath,Head,0,9,11,0,None,Common,"This survived a drawer full of junk. Against all odds, so did you.",System,/icons/head_plate_034.png
new_685151,Beta-Tested Pauldrons of the War Cry,Chest,32,8,2,90,None,Rare,Error 404: Better loot not found.,System,/icons/chest_plate_098.png
new_257705,Standard-Issue Monolith Shard of the Iron Avalanche,Neck,12,8,0,0,None,Common,The craftsmanship is... adequate. Barely.,System,/icons/acc_neck_031.png
new_959694,Ironleaf Oathcord of the Berserker,Neck,20,4,15,5,None,Uncommon,A reward for your 'hard work.' Try not to lose it.,Beware of Chicken,/icons/acc_neck_028.png
new_771570,Boilerplate Idol of the Battle Saint,Trinket,10,3,3,20,None,Common,It was discovered under a cart. Great destinies begin somewhere awful.,High-Tech,/icons/acc_trinket_037.png
new_543391,Hugh's Medallion of Crushing,Neck,45,9,18,40,None,Epic,Improved after three revisions and one embarrassing recall.,Mage Errant,/icons/acc_neck_035.png
new_975317,Nova-Forged Charmstring of the Glass Horizon,Neck,5,34,3,90,None,Rare,Stamped out by a bored quartermaster and dropped immediately. A natural lifecycle.,Portal to Nova Roma,/icons/acc_necklace_006.png
new_696910,Stamped-Alloy Visor of the Iron Reign,Head,12,0,8,0,None,Common,"If disappointment had a loot table entry, this would be near the top.",High-Tech,/icons/head_plate_096.png
new_774931,Mimic-Bait Repeater of Ripping,Weapon,8,3,4,25,None,Common,"The stitching is uneven, but so is fate.",System,/icons/icons_quest_misc_213.png
new_130274,Flea-Market Figurine of the Goliath Brand,Trinket,8,9,1,10,None,Common,"It rattles when moved, much like your long-term build plan.",Jake's Magical Market,/icons/acc_trinket_121.png
new_242083,Dan's Jerkin of Final Impact,Chest,10,1,9,0,None,Common,It was discovered under a cart. Great destinies begin somewhere awful.,The Bad Guys,/icons/icons_quest_misc_239.png
new_422893,Battle-Worn Necklace of the Bastioned Heart,Neck,5,0,12,15,None,Common,It still smells faintly of the previous owner.,General,/icons/acc_necklace_010.png
new_352480,Trash-Tier Shell Armor of the Prism Mind,Chest,3,8,4,25,None,Common,The System has classified this as usable. Barely.,System,/icons/icons_quest_misc_073.png
new_534661,Forgotten Brigandine of the Warlord,Chest,48,0,32,0,None,Epic,"Calibrated by the System to be adequate, which for you counts as praise.",Ancient,/icons/icons_quest_misc_078.png
new_242806,Warspun Vambraces of Brilliance,Chest,8,32,15,25,None,Rare,"Smells like mildew, pennies, and survivorship bias.",A Soldier's Life,/icons/chest_plate_038.png
new_205102,Barracks-Issue Horned Casque of the Granite March,Head,2,7,11,0,None,Common,Error 404: Better loot not found.,A Soldier's Life,/icons/head_plate_114.png
new_339261,Wolfsworn Reliquary of the Warded Step,Trinket,6,14,20,0,None,Uncommon,A patch fix for a bug that technically never existed.,Law of the Jungle,/icons/acc_trinket_003.png
new_528528,Flea-Market Diadem of the Anvil Fist,Head,9,2,8,5,None,Common,Warning: Do not consume.,Jake's Magical Market,/icons/icons_quest_misc_089.png
new_160481,Soulplated Compass of the Citadel,Trinket,24,13,34,45,None,Epic,Built from scrap and optimism. One of those failed first.,Immortal Great Souls,/icons/acc_trinket_046.png
new_249227,Jake's Sigil of the Ember Champion,Neck,36,2,15,35,None,Rare,It was discovered under a cart. Great destinies begin somewhere awful.,Primal Hunter,/icons/acc_neck_014.png
new_621926,Knockoff Soul Vial of the Void Walker,Trinket,4,34,20,10,None,Rare,It was discovered under a cart. Great destinies begin somewhere awful.,Corrupted,/icons/acc_trinket_053.png
new_597302,Iron-Bound Talisman of the Siege Horn,Trinket,24,15,0,5,None,Uncommon,It pulses with a rhythmic; annoying light.,General,/icons/acc_trinket_132.png
new_601189,Flea-Market Bodyglove of Shielding,Chest,1,4,12,15,None,Common,Wait; is that a bloodstain or a design choice?,Jake's Magical Market,/icons/icons_quest_misc_171.png
new_560004,Mass-Forged Longbow of the Siege Horn,Weapon,20,7,6,35,None,Uncommon,A reward for your 'hard work.' Try not to lose it.,General,/icons/weapon_bow_067.png
new_770101,Knockoff Doublet of the Berserker,Chest,10,1,7,10,None,Common,The kind of gear merchants call 'starter' and veterans call 'bait.',Corrupted,/icons/chest_cloth_029.png
new_741086,Steelbloom Charm of the Blue Nova,Neck,17,31,3,45,None,Rare,"It rattles when moved, much like your long-term build plan.",The Alchemic Weaponeer Series,/icons/acc_neck_003.png
new_744789,Shattered Spatha of Deflection,Weapon,8,0,9,15,None,Common,A minor triumph of cheap materials over basic standards.,General,/icons/weapon_sword_047.png
new_795618,Drill-Grade Ring of the Titan Guard,Ring,7,9,20,20,None,Uncommon,Pulled from a cracked A Soldier's Life footlocker. It smells like mildew and regret.,A Soldier's Life,/icons/acc_ring_004.png
new_305150,Discounted Sallet of the Wardstone,Head,0,2,8,50,None,Common,The AI that designed this was having a bad day.,Discount Dan's Backroom Bargains,/icons/head_plate_052.png
new_341068,Cracked-Core Circuit Ring of the Siege Hold,Ring,15,0,24,5,None,Uncommon,It was discovered under a cart. Great destinies begin somewhere awful.,Corrupted,/icons/acc_ring_014.png
new_107508,Tavi's Ring of Stars,Ring,3,32,9,80,None,Rare,It looks rented. The System expects it back in worse condition.,A Thousand Li,/icons/acc_ring_082.png
new_628794,Ogre's Loopband of the Goliath Brand,Ring,17,7,14,10,None,Uncommon,"The stitching is uneven, but so is fate.",Defiance of the Fall,/icons/acc_ringwod_036.png
new_668983,Surplus Gladius of the Night Lens,Weapon,1,24,35,0,None,Rare,The System has classified this as usable. Barely.,Imperial Initiative,/icons/weapon_sword_504.png
new_586524,Misprinted Kevlar Vest of the Colossus March,Chest,9,4,3,20,None,Common,The finish peeled off before you equipped it. Very efficient.,General,/icons/icons_quest_misc_243.png
new_689990,Patch-Note Coif of the Berserker,Head,18,3,13,30,None,Uncommon,"Calibrated by the System to be adequate, which for you counts as praise.",System,/icons/head_mail_132.png
new_639101,Scuffed Carapace of the Glass Horizon,Chest,5,9,6,0,None,Common,Built from scrap and optimism. One of those failed first.,General,/icons/icons_quest_misc_196.png
new_717813,Stamped-Alloy Soul Vial of the Bastioned Heart,Trinket,7,0,12,5,None,Common,It pulses with a rhythmic; annoying light.,High-Tech,/icons/acc_trinket_078.png
new_855862,Training-Yard Circlet of the Berserker,Head,8,10,1,5,None,Common,"If disappointment had a loot table entry, this would be near the top.",Quest Academy,/icons/icons_quest_misc_083.png
new_668581,Off-Brand Monolith Shard of the Cosmic Thread,Neck,2,8,4,30,None,Common,Stamped out by a bored quartermaster and dropped immediately. A natural lifecycle.,General,/icons/acc_necklace_009.png
new_390768,Ooze-Stained Rapier of Relentless Force,Weapon,12,4,4,0,None,Common,The finish peeled off before you equipped it. Very efficient.,General,/icons/weapon_sword_374.png
new_839415,Ooze-Stained Skullcap of Deflection,Head,1,3,10,30,None,Common,"Somebody threw this away. The System saw potential. Tragic, really.",General,/icons/icons_quest_misc_047.png
new_981755,Ooze-Stained Visor of the Battle Saint,Head,9,1,6,20,None,Common,"Mass-produced, lightly cursed, and somehow still an upgrade.",General,/icons/head_plate_113.png
new_896474,Discounted Targeter of the Stormbreak,Head,2,2,11,25,None,Common,Congratulations. You found the shiny thing.,Discount Dan's Backroom Bargains,/icons/icons_quest_misc_103.png
new_425971,Rattletrap Pendant of the Battle Saint,Neck,8,1,11,0,None,Common,Slightly better than nothing. Only slightly.,High-Tech,/icons/acc_neck_031.png
new_127052,Ooze-Stained Tunic of the Aether Throne,Chest,7,10,2,5,None,Common,A pity prize for finishing another book.,General,/icons/chest_cloth_182.png
new_923300,Cracked-Core Brigandine of the Stormbreak,Chest,0,11,9,0,None,Common,The System found this in a trash bin. Enjoy.,Corrupted,/icons/icons_quest_misc_099.png
new_473903,Lanternlit Charmstring of the Battle Saint,Neck,19,0,17,20,None,Uncommon,Wait; is that a bloodstain or a design choice?,Legends & Lattes,/icons/acc_neck_031.png
new_983837,Boilerplate Pocket Shrine of Sorcery,Trinket,3,12,1,20,None,Common,It was discovered under a cart. Great destinies begin somewhere awful.,High-Tech,/icons/acc_trinket_058.png
new_124925,Embermarked Lifesignet of the Last Charge,Neck,45,6,1,140,None,Epic,The System refuses to comment on this item.,Divine,/icons/acc_neck_030.png
new_734314,Discounted Scaleshirt of the Granite March,Chest,21,0,17,10,None,Uncommon,Forged in haste and probably in violation of several safety codes.,Discount Dan's Backroom Bargains,/icons/icons_quest_misc_258.png
new_813745,Ooze-Stained Halo Ring of the Siege Hold,Ring,7,0,11,10,None,Common,Stamped out by a bored quartermaster and dropped immediately. A natural lifecycle.,General,/icons/acc_ringwod_023.png
new_640896,Dan's Whip of the Granite March,Weapon,3,7,9,5,None,Common,"Somebody threw this away. The System saw potential. Tragic, really.",The Bad Guys,/icons/icons_quest_misc_240.png
new_396493,Standard-Issue Reliquary of the Oracle's Wake,Trinket,25,29,6,0,None,Rare,"Somebody threw this away. The System saw potential. Tragic, really.",System,/icons/acc_trinket_005.png
new_331658,Second-Hand Surcoat of the Siege Hold,Chest,1,4,11,20,None,Common,Built from scrap and optimism. One of those failed first.,General,/icons/chest_cloth_138.png
new_822049,Relic Charmstring of the Ember Champion,Neck,38,7,6,145,None,Epic,A reward for your 'hard work.' Try not to lose it.,General,/icons/acc_neck_030.png
new_650348,Standard-Issue Spatha of Stars,Weapon,0,8,6,30,None,Common,Warning: Do not consume.,System,/icons/weapon_sword_570.png
new_406549,Shattered Locket of the Blue Nova,Neck,3,8,9,0,None,Common,The System acknowledges your survival. For now.,General,/icons/acc_necklace_001.png
new_787158,Iron-Bound Circle of the Sentinel,Ring,2,14,32,60,None,Rare,The kind of gear merchants call 'starter' and veterans call 'bait.',General,/icons/acc_ring_012.png
new_800957,Ooze-Stained Totem of the Last Shield,Trinket,0,6,8,30,None,Common,A minor triumph of cheap materials over basic standards.,General,/icons/acc_trinket_074.png
new_156881,Surplus Scimitar of the Red Banner,Weapon,31,2,24,15,None,Rare,It feels like someone is watching you.,Imperial Initiative,/icons/weapon_sword_377.png
new_285521,Spare-Parts Battle Jacket of Slaying,Chest,10,7,3,0,None,Common,"Smells like mildew, pennies, and survivorship bias.",High-Tech,/icons/icons_quest_misc_207.png
new_518209,Scuffed Signet of Channeling,Ring,1,8,6,25,None,Common,The finish peeled off before you equipped it. Very efficient.,General,/icons/acc_ring_098.png
new_861144,Ashen Gambeson of the Aether Throne,Chest,5,27,21,35,None,Rare,Carries the faint confidence of gear that has only failed other people.,Corrupted,/icons/chest_cloth_080.png
new_455130,Surplus Rune Tablet of the Luminous Veil,Trinket,2,10,6,10,None,Common,The AI that designed this was having a bad day.,Imperial Initiative,/icons/acc_trinket_085.png
new_359175,Factory-Stamped Exosuit of Impact,Chest,9,0,4,35,None,Common,The craftsmanship is... adequate. Barely.,High-Tech,/icons/icons_quest_misc_146.png
new_388058,Embermarked Tabard Vest of the Rampart Breaker,Chest,18,20,0,10,None,Uncommon,Slightly better than nothing. Only slightly.,Divine,/icons/icons_quest_misc_017.png
new_701042,Dust-Caked Circle of the Rune Storm,Ring,0,12,7,5,None,Common,It looks rented. The System expects it back in worse condition.,A Shrouded World,/icons/acc_ring_021.png
new_516957,Ration-Issue Pilot Hood of the Warded Step,Head,7,3,33,85,None,Rare,"Smells like mildew, pennies, and survivorship bias.",A Soldier's Life,/icons/icons_quest_misc_108.png
new_789932,Knockoff Halberd of Channeling,Weapon,30,45,8,85,None,Legendary,Wait; is that a bloodstain or a design choice?,Corrupted,/icons/icons_quest_misc_033.png
new_343162,Cracked-Core Shell Armor of the Shellback,Chest,1,4,9,30,None,Common,"It rattles when moved, much like your long-term build plan.",Corrupted,/icons/icons_quest_misc_100.png
new_605697,Off-Brand Dog Tags of Might,Neck,9,2,5,20,None,Common,A reward for your 'hard work.' Try not to lose it.,General,/icons/acc_neck_020.png
new_838634,Scamp's Vambraces of the Warlord,Chest,11,5,3,5,None,Common,It still smells faintly of the previous owner.,The Bad Guys,/icons/chest_plate_180.png
new_563583,Clyde's Figurine of the Stronghold,Trinket,5,10,21,20,None,Uncommon,One of a kind. Until you find another one.,The Bad Guys,/icons/acc_trinket_096.png
new_946427,Scamp's Chainblade of Might,Weapon,8,7,3,10,None,Common,Error 404: Better loot not found.,The Bad Guys,/icons/icons_quest_misc_274.png
new_582939,Discounted Sigil of the Parapet,Neck,11,17,32,0,None,Rare,One of a kind. Until you find another one.,Discount Dan's Backroom Bargains,/icons/acc_neck_009.png
new_316791,Ironleaf Mindcage of the Ether Crown,Head,11,17,11,5,None,Uncommon,The System has classified this as usable. Barely.,Beware of Chicken,/icons/icons_quest_misc_224.png
new_269253,Voidscript Warhammer of the Anchor,Weapon,16,1,45,190,None,Legendary,The craftsmanship is... adequate. Barely.,Paranoid Mage,/icons/weapon_mace_403.png
new_889494,Barracks-Issue Orb of the Ember Champion,Trinket,10,4,2,20,None,Common,It pulses with a rhythmic; annoying light.,A Soldier's Life,/icons/acc_trinket_002.png
new_309319,Misprinted Observer Goggles of the Cosmic Thread,Head,6,22,12,0,None,Uncommon,One of a kind. Until you find another one.,General,/icons/icons_quest_misc_213.png
new_852638,Mimic-Bait Collar of the Nebula,Neck,8,9,2,5,None,Common,The System found this in a trash bin. Enjoy.,System,/icons/acc_necklace_009.png
new_232009,Boilerplate Bauble of the Cosmic Thread,Trinket,8,12,0,0,None,Common,"This survived a drawer full of junk. Against all odds, so did you.",High-Tech,/icons/acc_trinket_057.png
new_264400,Ration-Issue Helm of the Phalanx,Head,3,10,20,35,None,Uncommon,The AI that designed this was having a bad day.,A Soldier's Life,/icons/head_plate_043.png
new_533902,Nerfed Band of the Bastioned Heart,Ring,0,8,12,0,None,Common,It pulses with a rhythmic; annoying light.,System,/icons/acc_ring_031.png
new_398708,Trash-Tier Null Ring of the Gatekeeper,Ring,2,5,10,15,None,Common,It pulses with a rhythmic; annoying light.,System,/icons/acc_ring_096.png
new_548024,Soulharrow Breastplate of the Nebula,Chest,3,40,34,15,None,Epic,The craftsmanship is... adequate. Barely.,Corrupted,/icons/chest_plate_134.png
new_342361,Hexproof Greathelm of the Mountain,Head,7,13,19,5,None,Uncommon,Warning: Do not consume.,Arcane Ascension,/icons/head_plate_014.png
new_970580,Budget-Line Pulse Rifle of the Thunder Maul,Weapon,10,8,1,5,None,Common,The System found this in a trash bin. Enjoy.,High-Tech,/icons/icons_quest_misc_173.png
new_164453,Worldwalker Lance of the Tortoise,Weapon,2,0,47,155,None,Epic,A reward for your 'hard work.' Try not to lose it.,Portal to Nova Roma,/icons/icons_quest_misc_031.png
new_664401,Embermarked Necklace of Warding,Neck,14,2,22,10,None,Uncommon,"This survived a drawer full of junk. Against all odds, so did you.",Divine,/icons/acc_neck_027.png
new_318417,Nerfed Oathcord of the Chainbreaker,Neck,11,0,9,0,None,Common,A reward for your 'hard work.' Try not to lose it.,System,/icons/acc_neck_028.png
new_627919,Bent-Nail Idol of the Sunken Sigil,Trinket,1,8,7,20,None,Common,"Mass-produced, lightly cursed, and somehow still an upgrade.",General,/icons/acc_trinket_059.png
new_911399,Dust-Caked Figurine of the Comet,Trinket,10,10,0,0,None,Common,Slightly better than nothing. Only slightly.,A Shrouded World,/icons/acc_trinket_138.png
new_473182,Factory-Stamped Railgun of the Granite March,Weapon,2,5,12,5,None,Common,Factory-second quality for a second-rate hero.,High-Tech,/icons/icons_quest_misc_088.png
new_136795,Discounted Horned Casque of the Mauler,Head,8,4,5,15,None,Common,A reward for your 'hard work.' Try not to lose it.,Discount Dan's Backroom Bargains,/icons/head_plate_150.png
new_664655,Lanternlit Longbow of the Tortoise,Weapon,4,11,35,50,None,Rare,"Calibrated by the System to be adequate, which for you counts as praise.",Legends & Lattes,/icons/weapon_bow_058.png
new_290336,Ironroot Mask of Might,Head,42,4,0,170,None,Epic,Your progress has been noted. Please remain seated.,Battle Mage Farmer,/icons/head_cloth_119.png
new_239513,Iron-Bound Arc Pistol of the Void Walker,Weapon,17,17,5,5,None,Uncommon,The brass gleam suggests ambition. The dents suggest reality.,General,/icons/icons_quest_misc_249.png
new_132343,Corin's Necklace of the Sage,Neck,7,32,9,60,None,Rare,Not heroic. Not worthless. The middle path remains ugly.,Arcane Ascension,/icons/acc_neck_019.png
new_204355,Off-Brand Spear of the Celestial Circuit,Weapon,0,22,7,55,None,Uncommon,Your progress has been noted. Please remain seated.,General,/icons/icons_quest_misc_044.png
new_332998,Ogre's Totem of the Warlord,Trinket,29,5,17,45,None,Rare,It still smells faintly of the previous owner.,Defiance of the Fall,/icons/acc_trinket_104.png
new_529911,Off-Brand War Bonnet of the Eldritch Gale,Head,0,21,17,10,None,Uncommon,Procedurally generated for maximum efficiency.,General,/icons/icons_quest_misc_228.png
new_183595,Mass-Forged Vambraces of the Mountain,Chest,6,3,10,5,None,Common,"Smells like mildew, pennies, and survivorship bias.",General,/icons/chest_plate_083.png
new_701378,Iron-Bound Orb of Brutality,Trinket,21,6,8,25,None,Uncommon,Congratulations. You found the shiny thing.,General,/icons/acc_trinket_128.png
new_974552,Flea-Market Rune Tablet of the Comet,Trinket,2,11,7,0,None,Common,Error 404: Better loot not found.,Jake's Magical Market,/icons/acc_trinket_077.png
new_556101,Tinplate Votive of the Night Lens,Trinket,1,8,1,50,None,Common,The System acknowledges your survival. For now.,General,/icons/acc_trinket_080.png
new_486308,Cracked-Core Torque of Sorcery,Neck,5,10,1,20,None,Common,"Somebody threw this away. The System saw potential. Tragic, really.",Corrupted,/icons/acc_necklace_003.png
new_992210,Mimic-Bait Helm of the Celestial Circuit,Head,2,9,8,5,None,Common,The System has classified this as usable. Barely.,System,/icons/head_plate_142.png
new_872265,Beta-Tested Pocket Shrine of Relentless Force,Trinket,24,14,1,5,None,Uncommon,Factory-second quality for a second-rate hero.,System,/icons/acc_trinket_074.png
new_282447,Shattered Spellbook of Cleaving,Weapon,10,0,6,20,None,Common,The System acknowledges your survival. For now.,General,/icons/icons_quest_misc_266.png
new_277239,Second-Hand Spear of the Great Hunt,Weapon,9,4,4,15,None,Common,It looks rented. The System expects it back in worse condition.,General,/icons/icons_quest_misc_149.png
new_800617,Patch-Note Circuit Ring of the Void,Ring,0,17,22,5,None,Uncommon,Improved after three revisions and one embarrassing recall.,System,/icons/acc_ringwod_038.png
new_989248,Ashwood Rosary of Warding,Neck,1,10,23,30,None,Uncommon,"It rattles when moved, much like your long-term build plan.",Benjamin Ashwood Series,/icons/acc_neck_004.png
new_703723,Standard-Issue Battle Jacket of the Eldritch Gale,Chest,1,19,7,65,None,Uncommon,Wait; is that a bloodstain or a design choice?,System,/icons/icons_quest_misc_226.png
new_777160,Shattered Beads of the Comet,Neck,24,43,1,60,None,Epic,The System acknowledges your survival. For now.,General,/icons/acc_neck_007.png
